playerName,playerId,playerTeam,playerAbbreviationNames,isActive,comment
Dyson Daniels,DE0B19290551,Atlanta Hawks,Dyson Daniels;D. Daniels;D.Daniels;Daniels Dyson,true,
Andrew Nembhard,92F6506906D1,Indiana Pacers,Andrew Nembhard;A. Nembhard;A.Nembhard;Nembhard Andrew,true,
Bennedict Mathurin,EFB4E989954A,Indiana Pacers,Bennedict Mathurin;B. Mathurin;B.Mathurin;Mathurin Bennedict,true,
Aaron Nesmith,C0A3D5023D67,Indiana Pacers,Aaron Nesmith;A. Nesmith;A.Nesmith;Nesmith Aaron,true,
Shaedon Sharpe,D53995324E8F,Portland Trail Blazers,Shaedon Sharpe;S. Sharpe;S.Sharpe;Sharpe Shaedon,true,
Matas Buzelis,8D55741071E2,Chicago Bulls,Matas Buzelis;M. Buzelis;M.Buzelis;Buzelis Matas,true,
Nikola Jovic,A5F161698A2A,Miami Heat,Nikola Jovic;N. Jovic;N.Jovic;Jovic Nikola,true,
Payton Pritchard,5D8F1AC5DB79,Boston Celtics,Payton Pritchard;P. Pritchard;P.Pritchard;Pritchard Payton,true,
Collin Sexton,5EBE7BC13617,Charlotte Hornets,Collin Sexton;C. Sexton;C.Sexton;Sexton Collin,true,
Dillon Brooks,8A27A30C7CB9,Phoenix Suns,Dillon Brooks;D. Brooks;D.Brooks;Brooks Dillon,true,
